user_id,uncertain_word,final_x,final_y,click_order,rt,initial_x,initial_y,circle_radius
17739,questionable,-232.7586747892118,-44.908621295090825,10,316.536,-339.7586747892118,-59.908621295090825,300
17739,improbable,136.2212356943685,-74.49999999999977,17,316.536,-298.77876430563146,-172.49999999999977,300
17739,confident,135.23827465814384,124.71466712395272,16,316.536,-221.76172534185616,-264.2853328760473,300
17739,erratic,136.00305055264437,79.80604582886167,18,316.536,-117.99694944735565,-324.19395417113833,300
17316,possible,66,100,11,90.433,0,-345,300
17316,vague,-134.00305055264425,-89.19395417113833,14,90.433,117.99694944735576,-324.19395417113833,300
17316,ambiguous,-57.23827465814395,-21.28533287604739,13,90.433,221.76172534185605,-264.2853328760474,300
17316,risky,127.77876430563128,-98.5,16,90.433,298.7787643056313,-172.5,300
17316,confident,-50.24132521078832,144.09137870490906,15,90.433,339.7586747892117,-59.90862129509094,300
17316,unknown,-62.24132521078832,-171.09137870490906,12,90.433,339.7586747892117,59.90862129509094,300
17316,unexpected,-1.2212356943687157,-262.5000000000001,2,90.433,298.7787643056313,172.4999999999999,300
17316,questionable,254.76172534185616,-11.714667123952609,18,90.433,221.76172534185616,264.2853328760474,300
17316,predictable,3.996949447355746,261.19395417113833,1,90.433,117.99694944735576,324.19395417113833,300
17316,erratic,250,-81,17,90.433,5.684341886080804e-14,345,300
17316,likely,15.003050552644254,172.19395417113833,8,90.433,-117.99694944735568,324.19395417113833,300
17316,frequent,112.23827465814406,224.2853328760475,10,90.433,-221.7617253418559,264.2853328760475,300
17316,definite,-128.77876430563123,136.5000000000001,7,90.433,-298.7787643056312,172.5000000000001,300
17316,certain,-218.75867478921168,142.90862129509094,6,90.433,-339.7586747892117,59.90862129509094,300
17316,uncertain,207.2413252107882,-162.90862129509082,5,90.433,-339.7586747892118,-59.908621295090825,300
17316,improbable,125.22123569436847,-227.49999999999977,4,90.433,-298.77876430563146,-172.49999999999977,300
17316,inevitable,-143.76172534185616,217.71466712395272,3,90.433,-221.76172534185616,-264.2853328760473,300
17316,doubtful,66.00305055264437,-141.19395417113833,9,90.433,-117.99694944735565,-324.19395417113833,300
17855,frequent,245,-84,6,236.14,0,-345,300
17855,definite,77.99694944735575,250.80604582886167,13,236.14,117.99694944735576,-324.19395417113833,300
17855,risky,25.76172534185605,-142.2853328760474,14,236.14,221.76172534185605,-264.2853328760474,300
17855,predictable,135.77876430563128,118.5,10,236.14,298.7787643056313,-172.5,300
17855,inevitable,237.75867478921168,88.09137870490906,11,236.14,339.7586747892117,-59.90862129509094,300
17855,doubtful,142.75867478921168,-214.09137870490903,9,236.14,339.7586747892117,59.90862129509094,300
17855,improbable,100.77876430563128,-50.500000000000114,17,236.14,298.7787643056313,172.4999999999999,300
17855,certain,161.76172534185616,207.2853328760474,8,236.14,221.76172534185616,264.2853328760474,300
17855,questionable,-227.00305055264425,97.19395417113832,16,236.14,117.99694944735576,324.19395417113833,300
17855,erratic,-78.99999999999994,128,1,236.14,5.684341886080804e-14,345,300
