sub,trial,gamble,choice,choice_fct,rt
4,72,84,2,B,3.8
4,73,24,2,B,4.851
4,74,71,1,A,21.537
4,75,86,2,B,11.875
4,76,75,1,A,4.64
4,77,40,1,A,4.556
4,78,87,1,A,4.853
4,79,5,1,A,2.224
4,80,80,1,A,2.128
4,81,58,2,B,5.396
4,82,42,1,A,6.22
4,83,1,1,A,3.822
4,84,61,2,B,7.113
4,85,45,1,A,33.956
4,86,8,1,A,5.501
4,87,49,2,B,2.74
4,88,20,2,B,3.218
4,89,54,1,A,4.301
4,90,85,1,A,4.075
4,91,48,1,A,1.788
5,1,64,1,A,10.087
5,2,6,2,B,20.237
5,3,36,2,B,14.171
5,4,81,2,B,9.792
5,5,37,2,B,10.64
5,6,82,2,B,15.466
5,7,48,1,A,12.417
5,8,63,2,B,8.78
5,9,72,1,A,17.175
5,10,91,2,B,14.448
5,11,58,2,B,13.325
5,12,18,1,A,4.519
5,13,24,2,B,2.141
5,14,32,1,A,1.836
5,15,71,2,B,2.393
5,16,3,2,B,2.631
5,17,30,1,A,2.038
5,18,66,1,A,1.635
5,19,56,2,B,2.155
5,20,29,2,B,2.013
5,21,33,1,A,1.622
5,22,31,2,B,1.761
5,23,10,2,B,1.35
5,24,78,1,A,0.841
5,25,26,1,A,2.098
5,26,55,1,A,1.556
5,27,76,1,A,1.443
5,28,84,2,B,0.554
5,29,34,2,B,1.36
5,30,23,1,A,2.184
5,31,80,2,B,1.846
5,32,65,1,A,0.929
5,33,7,1,A,2.486
5,34,69,1,A,1.579
5,35,70,1,A,1.637
5,36,59,2,B,1.33
5,37,61,2,B,1.109
5,38,21,1,A,1.301
5,39,1,2,B,1.256
5,40,17,1,A,2.203
5,41,54,2,B,1.693
5,42,35,1,A,1.495
5,43,41,1,A,0.88
5,44,42,1,A,103.481
5,45,5,2,B,4.011
5,46,77,1,A,10.738
5,47,62,2,B,10.729
5,48,22,2,B,63.833
5,49,15,2,B,1.901
5,50,53,1,A,0.927
5,51,8,1,A,0.431
5,52,90,1,A,0.471
5,53,88,1,A,0.385
5,54,83,1,A,2.84
5,55,38,1,A,0.54
5,56,86,1,A,0.663
5,57,47,2,B,1.343
5,58,27,1,A,0.541
5,59,75,1,A,1.368
5,60,19,2,B,0.635
5,61,46,2,B,0.409
5,62,68,1,A,0.754
5,63,87,1,A,0.422
5,64,51,2,B,2.36
5,65,74,2,B,0.38
5,66,11,2,B,0.636
5,67,16,2,B,0.718
5,68,57,2,B,1.896
5,69,12,2,B,1.127
5,70,45,1,A,1.113
5,71,28,2,B,1.084
5,72,44,1,A,1.123
5,73,73,2,B,4.39
5,74,9,2,B,1.321
5,75,67,1,A,0.638
5,76,60,2,B,1.786
5,77,25,2,B,0.592
5,78,13,1,A,1.324
5,79,79,1,A,0.521
5,80,4,1,A,1.185
5,81,40,1,A,0.65
5,82,85,1,A,0.548
5,83,39,2,B,1.394
5,84,49,2,B,1.64
5,85,20,1,A,1.345
5,86,43,1,A,0.283
5,87,2,2,B,0.541
5,88,50,1,A,0.625
5,89,52,1,A,0.333
5,90,89,2,B,0.465
5,91,14,1,A,0.372
6,1,51,2,B,75.065
6,2,89,1,A,26.08
6,3,7,2,B,18.719
