sub,trial,gamble,choice,choice_fct,rt,gain_loss,A_p1,A_o1,A_p2,A_o2,B_p1,B_o1,B_p2,B_o2,A_risky,B_risky
2,55,80,1,A,2.018,mixed,0.5,0,0.5,0,0.5,-60,0.5,60,risky,risky
2,10,81,2,B,8.675,mixed,0.5,-70,0.5,60,0.5,0,0.5,0,risky,risky
2,15,82,2,B,2.254,gain,0.1,77,0.9,2,0.1,40,0.9,32,risky,risky
2,13,83,1,A,1.901,gain,0.2,40,0.8,32,0.2,77,0.8,2,risky,risky
2,36,84,2,B,0.535,gain,0.3,77,0.7,2,0.3,40,0.7,32,risky,risky
2,80,85,1,A,0.3,gain,0.4,40,0.6,32,0.4,77,0.6,2,risky,risky
2,9,86,1,A,4.104,gain,0.5,77,0.5,2,0.5,40,0.5,32,risky,risky
2,71,87,1,A,0.53,gain,0.6,40,0.4,32,0.6,77,0.4,2,risky,risky
2,43,88,1,A,0.622,gain,0.7,40,0.3,32,0.7,77,0.3,2,risky,risky
2,28,89,1,A,4.141,gain,0.8,77,0.2,2,0.8,40,0.2,32,risky,risky
2,66,90,1,A,1.097,gain,0.9,77,0.1,2,0.9,40,0.1,32,risky,risky
3,15,1,2,B,2.201,gain,0.34,24,0.66,59,0.42,47,0.58,64,risky,risky
3,17,2,2,B,4.035,gain,0.88,79,0.12,82,0.2,57,0.8,94,risky,risky
3,25,3,1,A,3.085,gain,0.74,62,0.26,0,0.44,23,0.56,31,risky,risky
3,69,4,2,B,1.914,gain,0.05,56,0.95,72,0.95,68,0.05,95,risky,risky
3,63,5,2,B,2.135,gain,0.25,84,0.75,43,0.42,7,0.57,97,risky,risky
3,8,6,1,A,2.379,gain,0.28,7,0.72,74,0.71,55,0.29,63,risky,risky
3,1,7,2,B,4.073,gain,0.09,56,0.91,19,0.76,13,0.24,90,risky,risky
3,88,8,2,B,1.628,gain,0.63,41,0.37,18,0.98,56,0.02,8,risky,risky
3,84,9,1,A,1.482,gain,0.88,72,0.12,29,0.39,67,0.61,63,risky,risky
3,81,10,1,A,2.744,gain,0.61,37,0.39,50,0.6,6,0.4,45,risky,risky
