sub,trial,uncertain_word,valence,arousal,rt
27,1,unknown,-118,-98,12.066
27,2,possible,51,76,4.629
27,3,confident,208,135,5.678
27,4,unexpected,-138,98,5.741
27,5,questionable,-77,-37,4.233
27,6,likely,-154,-81,3.904
27,7,predictable,23,-144,5.983
27,8,ambiguous,2,1,3.905
27,9,doubtful,-101,98,5.76
27,10,risky,-9,166,4.128
27,11,improbable,-175,-42,3.878
27,12,definite,190,187,3.58
27,13,vague,-14,-15,5.861
27,14,certain,237,29,4.915
27,15,uncertain,-176,-40,4.929
27,16,frequent,15,-16,7.096
27,17,inevitable,165,-19,18.547
27,18,erratic,-63,226,5.023
28,1,likely,-49,-14,21.72
28,2,unknown,-7,-7,14.002
28,3,predictable,13,10,12.352
28,4,inevitable,1,16,15.221
28,5,unexpected,1,167,10.46
28,6,vague,-8,-8,7.578
28,7,ambiguous,-5,-9,10.516
28,8,risky,-59,185,17.48
28,9,possible,0,-1,7.546
28,10,erratic,-114,231,9.416
28,11,confident,250,74,11.625
28,12,certain,0,108,17.333
28,13,uncertain,-17,18,9.344
28,14,questionable,-134,15,10.638
28,15,frequent,2,42,10.562
28,16,definite,2,57,6.101
28,17,doubtful,-19,-67,11.217
28,18,improbable,-44,-27,16.242
29,1,improbable,1,-1,3.371
29,2,uncertain,2,1,1.705
29,3,likely,-3,-1,1.541
29,4,ambiguous,-1,-2,0.887
29,5,frequent,3,-3,1.362
29,6,definite,112,-6,2.263
29,7,predictable,2,-1,2.514
29,8,erratic,-81,-45,3.901
29,9,risky,-13,-11,3.747
29,10,confident,20,9,2.744
29,11,unknown,0,0,1.555
29,12,questionable,2,0,1.441
29,13,possible,0,-2,0.899
29,14,certain,0,1,1.009
29,15,inevitable,1,-2,1.66
29,16,vague,0,-1,0.582
29,17,doubtful,-1,-2,0.89
29,18,unexpected,1,0,1.563
32,1,predictable,33,33,11.967
32,2,ambiguous,-151,-102,12.596
32,3,improbable,-174,94,2.6
32,4,likely,-176,-140,3.487
32,5,definite,153,179,2.336
32,6,certain,143,164,2.012
32,7,inevitable,158,-132,3.746
32,8,vague,-221,-48,4.741
32,9,uncertain,-11,10,2.866
32,10,risky,-203,206,3.265
32,11,frequent,91,68,2.456
32,12,unexpected,-53,-133,3.974
32,13,unknown,-1,5,2.294
32,14,confident,166,26,2.3
32,15,doubtful,-137,-24,4.464
32,16,possible,63,51,2.052
32,17,erratic,-113,62,4.599
32,18,questionable,-21,-128,5.637
33,1,ambiguous,53,59,16.778
33,2,improbable,-198,-127,5.228
33,3,risky,-178,166,2.648
33,4,unknown,-1,88,4.7
33,5,possible,48,65,3.044
33,6,confident,42,212,2.471
33,7,certain,170,97,3.25
33,8,erratic,175,199,2.406
33,9,frequent,28,120,5.4
33,10,doubtful,11,-126,2.653
33,11,uncertain,-156,-19,3.113
33,12,vague,-39,-63,2.353
33,13,likely,-22,-27,2.249
33,14,predictable,10,197,2.615
33,15,inevitable,-79,94,2.93
33,16,questionable,17,168,2.569
33,17,definite,106,124,5.015
33,18,unexpected,-141,-110,9.463
34,1,confident,42,73,3.208
34,2,certain,10,53,3.6
34,3,doubtful,-81,-73,3.239
34,4,improbable,-76,-128,3.281
34,5,ambiguous,-106,-55,4.576
34,6,erratic,-158,82,8.508
34,7,predictable,143,-1,7.959
34,8,risky,-121,53,4.517
34,9,unknown,-193,1,5.928
34,10,unexpected,-186,42,5.093
34,11,uncertain,-202,71,3.71
34,12,frequent,67,53,6.21
34,13,inevitable,4,-1,9.148
34,14,likely,-144,-38,3.904
34,15,vague,-135,-1,6.192
34,16,questionable,-64,1,4.851
34,17,possible,58,84,3.043
34,18,definite,167,119,5.126
35,1,confident,105,73,7.866
35,2,ambiguous,-85,58,6.686
35,3,improbable,-86,-85,4.509
35,4,predictable,20,21,4.559
35,5,doubtful,-151,81,4.595
35,6,uncertain,-187,190,5.308
35,7,questionable,-119,58,4.762
35,8,definite,210,125,3.505
35,9,likely,-95,-89,4.127
35,10,certain,130,185,3.998
35,11,unknown,-124,149,7.095
35,12,inevitable,-2,181,8.987
35,13,erratic,-216,219,4.84
35,14,risky,-97,240,4.047
35,15,unexpected,-22,228,3.502
35,16,frequent,91,143,3.229
35,17,vague,-155,-45,6.575
35,18,possible,43,-36,3.481
36,1,frequent,161,110,7.322
36,2,improbable,-172,-151,11.045
36,3,questionable,-99,115,5.763
36,4,inevitable,-154,209,11.018
36,5,risky,-236,229,5.832
36,6,vague,-22,-53,7.017
36,7,predictable,242,-244,7.36
36,8,unexpected,-26,175,11.534
36,9,possible,38,56,6.683
36,10,ambiguous,-165,-131,12.681
36,11,certain,227,39,6.875
36,12,erratic,-242,190,8.435
36,13,likely,-19,-22,8.151
36,14,confident,232,124,9.04
36,15,definite,94,138,7.856
36,16,doubtful,-105,23,10.141
36,17,unknown,-19,165,9.4
36,18,uncertain,-12,41,11.351
37,1,uncertain,-89,-93,8.467
37,2,unknown,-19,-15,5.056
37,3,predictable,67,22,4.157
37,4,confident,174,184,3.508
37,5,vague,-16,-55,5.286
37,6,risky,-212,-94,6.867
37,7,erratic,-206,-31,5.389
37,8,unexpected,-14,-95,4.682
37,9,frequent,16,119,5.287
37,10,definite,74,23,4.269
37,11,doubtful,-34,-71,4.692
37,12,certain,100,42,4.238
37,13,possible,94,77,4.186
37,14,ambiguous,-1,1,3.891
37,15,likely,-26,-39,2.907
37,16,improbable,-110,-49,2.283
37,17,inevitable,-59,12,6.007
37,18,questionable,-79,42,3.852
38,1,inevitable,-118,98,6.236
38,2,improbable,150,-206,5.493
38,3,certain,139,138,3.215
38,4,ambiguous,-184,133,4.349
38,5,erratic,-181,227,3.423
38,6,unknown,-127,176,6.525
38,7,definite,128,88,11.089
38,8,possible,142,-93,11.871
38,9,doubtful,-160,-113,3.5
38,10,predictable,183,-71,3.509
38,11,confident,210,-21,2.462
38,12,likely,-129,-20,2.854
38,13,unexpected,-172,194,2.771
38,14,questionable,-94,-38,4.517
38,15,vague,-206,-38,4.457
38,16,risky,-219,238,2.636
38,17,frequent,66,183,4.522
38,18,uncertain,-183,193,3.265
39,1,inevitable,-78,-39,6.509
39,2,questionable,-52,-100,4.8
39,3,unexpected,-51,94,4.912
39,4,improbable,-19,-17,6.048
39,5,frequent,47,43,4.135
39,6,risky,-92,119,3.905
39,7,ambiguous,-12,-160,4.511
39,8,possible,66,-43,2.454
39,9,vague,-27,-134,4.475
39,10,unknown,-24,-35,4.387
39,11,likely,-43,56,3.312
39,12,confident,96,102,2.498
39,13,predictable,24,74,6.636
39,14,doubtful,-21,-26,8.757
39,15,certain,36,93,2.86
39,16,erratic,-68,-82,3.151
39,17,uncertain,-27,90,6.728
39,18,definite,42,119,5.52
40,1,uncertain,-159,108,12.282
40,2,vague,-150,165,9.195
40,3,possible,101,192,11.228
40,4,predictable,241,243,8.236
40,5,frequent,103,152,5.888
40,6,likely,-136,89,8.064
40,7,questionable,-161,158,13.091
40,8,inevitable,-2,239,13.228
40,9,risky,-182,193,4.998
40,10,unexpected,0,220,15.697
40,11,unknown,0,183,18.963
40,12,confident,191,225,8.923
40,13,doubtful,-208,195,10.885
40,14,certain,241,245,10.564
40,15,improbable,-180,130,15.161
40,16,definite,1,201,13.951
40,17,erratic,-215,154,8.03
40,18,ambiguous,-162,120,6.994
41,1,ambiguous,-111,166,7.206
41,2,possible,145,162,4.989
41,3,questionable,-48,6,5.938
